BMI_min,BMI_max,numImages,Total Acc,White Acc,Black Acc
60.5711,350.53756,318,0.81,0.84,0.78
350.53756,481.92662000000007,288,0.84,0.9,0.79
481.92662000000007,600.76925,343,0.86,0.89,0.82
600.76925,719.841,359,0.83,0.89,0.76
719.841,843.4975999999999,352,0.83,0.88,0.78
843.4975999999999,984.1422799999999,346,0.85,0.88,0.81
984.1422799999999,1138.70128,337,0.83,0.85,0.81
1138.70128,1384.62894,324,0.81,0.8,0.83
1384.62894,1780.0699000000002,299,0.85,0.82,0.88
1780.0699000000002,4113.9319,316,0.83,0.78,0.88
